feature,CD,HYP,MI,NORM,STTC,mean_importance,feature_type
lead12_mean_abs_diff,0.09889582959101581,0.25409665759616595,0.14503985387377186,0.12261435594612578,0.46812982342634446,0.21775530408668478,baseline
lead4_min,0.10769291269098849,0.13168653812106754,0.15130450707163778,0.5927595672805349,0.10494805086975488,0.2176783152067967,baseline
clinical_lead1_q_r_ratio_mean,0.22165984566110067,0.330748896553661,0.23255828635602235,0.14666950630661882,0.15404435292073673,0.21713617755962794,clinical
lead10_skew,0.27975802123996396,0.05241936837591713,0.29530449081197996,0.352049335657333,0.10380477999407563,0.21666719921585392,baseline
clinical_lead7_qrs_max_mean,0.2083586431252172,0.09798451063612064,0.498026285157621,0.277685471189081,0.0,0.21641098202160797,clinical
clinical_lead1_q_depth_mean,0.12011767271579854,0.11162301693114436,0.4574197775873884,0.0719584406685579,0.28885635466009363,0.20999505251259656,clinical
lead5_rms,0.030270205628956395,0.5421720083680995,0.3091141289753272,0.10162014330152194,0.06500809137236906,0.20963691552925484,baseline
lead7_kurt,0.6695429456858794,0.0,0.0,0.11951965570069185,0.24818167333691088,0.2074488549446964,baseline
lead8_min,0.4210239480291247,0.4151610084653027,0.09458196241285864,0.0961315152960489,0.0,0.205379686840667,baseline
clinical_lead10_q_r_ratio_mean,0.23527001836389969,0.29690068487297644,0.4080706211187525,0.0,0.08606794724492692,0.2052618543201111,clinical
lead8_hf2_energy,0.584131952914656,0.051801258876700895,0.12528768673258614,0.14753256054431463,0.10572022598912627,0.2028947370114768,baseline
clinical_heart_rate_mean_bpm,0.12204061653334897,0.0673300421411202,0.08919440192794141,0.1846746491843819,0.5455351487685768,0.20175497171107387,clinical
lead1_max,0.10423780571697236,0.8336824722046574,0.0,0.044909070276260635,0.0,0.1965658696395781,baseline
lead12_kurt,0.49237387464909277,0.24863747147468243,0.01579463685118571,0.1428755249960714,0.07034739670819663,0.1940057809358458,baseline
lead2_median,0.14131281577422647,0.2373348882257921,0.2175476782233284,0.10750991457656259,0.2607302543614165,0.1928871102322652,baseline
lead8_dom_freq,0.04233490861932159,0.16576446398574768,0.0,0.5291713202529283,0.22568987228423476,0.19259211302844648,baseline
lead7_mean_abs_diff,0.23249527031713668,0.18784240256914772,0.0,0.2538340959478325,0.2819258000047046,0.1912195137677643,baseline
lead1_range,0.14024113238329813,0.4663708335677247,0.06740498550893562,0.13352372798320325,0.1296363230010986,0.18743540048885204,baseline
corr_I_III,0.0,0.12980566940548194,0.8051089688890812,0.0,0.0,0.18698292765891264,baseline
clinical_lead4_qrs_ptp_mean,0.1609107374700897,0.3346399487669394,0.20521481947790196,0.10581291519787445,0.11667284607236227,0.18465025339703356,clinical
lead12_max,0.10800046110342244,0.2526333482397267,0.1590202278030818,0.0335755917120704,0.3674021631966977,0.1841263584109998,baseline
lead11_max_abs_diff,0.0,0.5910031875570738,0.1938021701601578,0.0,0.12317022828478562,0.18159511720040344,baseline
clinical_lead5_t_inversion_ratio,0.1264286239541251,0.21637377968598157,0.12480685973218937,0.03856435884735704,0.3961782829413698,0.18047038103220459,clinical
lead1_median,0.0,0.36710619987831733,0.31030627053855003,0.0,0.22392676121930813,0.18026784632723508,baseline
clinical_lead8_q_r_ratio_mean,0.0,0.06929561815375312,0.7659604587830473,0.0,0.048472124576253245,0.17674564030261075,clinical
clinical_st_segment_mean_ms,0.11761689358244774,0.11093040555286629,0.15053923616322515,0.19419547798802544,0.3059509555355719,0.1758465937644273,clinical
clinical_lead8_t_inversion_ratio,0.0,0.042623192386920306,0.6575793399261443,0.05482406532487242,0.1241752757789783,0.17584037468338304,clinical
lead5_spec_entropy,0.45911818776040647,0.12692600522855715,0.154555481523232,0.0954531899449799,0.037980890782926865,0.1748067510480205,baseline
lead8_median,0.057435986526680576,0.0,0.08139536006476938,0.2573266750481705,0.47699458726871097,0.1746305217816663,baseline
lead7_min,0.11634541268276224,0.25096477827577446,0.050790485037698355,0.3180346434381421,0.13638068361598424,0.17450320061007227,baseline
lead9_hf2_energy,0.0,0.06834864591398722,0.026363684955167204,0.20496904061022425,0.5589695943381221,0.17173019316350016,baseline
lead9_dom_freq,0.0,0.030450657112354958,0.09891044091642746,0.0584011891755646,0.6666541649716119,0.1708832904351918,baseline
clinical_lead4_pathologic_q_ratio,0.27012233433100497,0.11056304630033062,0.05974847248352711,0.343100286668316,0.06840779440968424,0.1703883868385726,clinical
clinical_lead5_qrs_ptp_mean,0.0,0.6538381257307618,0.06671925764550116,0.13063921571330148,0.0,0.1702393198179129,clinical
clinical_heart_rate_std_bpm,0.0,0.019695236138024753,0.1123242361228926,0.19750457191746237,0.5201255599307373,0.1699299208218234,clinical
clinical_rr_min_ms,0.0,0.6803328394487219,0.0,0.023211702068274144,0.1443889619163579,0.16958670068667078,clinical
clinical_lead1_st_deviation_mean,0.0,0.3718046858530763,0.12302742131158208,0.0,0.34637867300782843,0.16824215603449738,clinical
lead12_std_diff,0.06721813253167701,0.13851933735508737,0.11772294558022985,0.03170791680953914,0.48529181472695304,0.16809202940069728,baseline
lead4_p75,0.15270006562339358,0.11294613945628233,0.362060298196935,0.15211880505729955,0.057265029049607584,0.16741806747670362,baseline
clinical_lead6_t_amp_mean,0.0,0.4880440039408017,0.18929101729377434,0.09451830272715574,0.056616981110140616,0.1656940610143745,clinical
lead5_max,0.0,0.5683403674505673,0.06703106899219351,0.12717436728751214,0.056297548139573696,0.1637686703739693,baseline
lead7_p25,0.23103340814203188,0.4212783537061746,0.024265956654997305,0.09417872178251974,0.04024325054491524,0.16219993816612777,baseline
lead6_mean_abs_diff,0.3086705241977838,0.3144737305731928,0.07682011618046834,0.05224436454583861,0.037179204316879946,0.1578775879628327,baseline
clinical_lead11_qrs_ptp_mean,0.0,0.08613355931575761,0.05156994643056952,0.07773478232284148,0.5673815037143393,0.1565639583567016,clinical
lead10_std_diff,0.0,0.32301576586788083,0.07101429938976515,0.24836797566200827,0.13346101296402946,0.15517181077673675,baseline
lead10_min,0.09110413855603283,0.289519445500113,0.21906773352931386,0.16434868151685217,0.0,0.1528079998204624,baseline
clinical_lead8_q_width_mean_ms,0.23591228629092464,0.08908546365561887,0.21081226938740374,0.08697956654541504,0.12426720554004694,0.14941135828388186,clinical
clinical_lead7_t_inversion_ratio,0.11375062451117224,0.2690323872065412,0.13015351707252973,0.05422079687830385,0.17636248350849193,0.1487039618354078,clinical
clinical_lead6_t_inversion_ratio,0.10313794850866477,0.14915834108580694,0.05582436954194241,0.1764464393789353,0.2434525995363654,0.14560393961034296,clinical
clinical_sdnn_ms,0.2922434429155173,0.29348945642044183,0.01617044346832071,0.04274308256646221,0.07974879726463426,0.14487904452707528,clinical
lead12_skew,0.0,0.23839677901256626,0.10994749952962335,0.09934235836680565,0.27124712807989787,0.14378675299777863,baseline
lead1_norm_energy,0.0,0.4017094262724216,0.0358704051790948,0.13998699725831712,0.13967662180049203,0.14344869010206512,baseline
lead8_std,0.33504172247282354,0.15339384602492329,0.17920518462356289,0.0,0.0414178610542978,0.1418117228351215,baseline
lead3_std_diff,0.06485116590213692,0.26998222543726613,0.09382731722377018,0.07238150913616351,0.20090012027030563,0.14038846759392848,baseline
lead8_mean,0.0,0.658310853138429,0.03490638769139021,0.008425162437232382,0.0,0.1403284806534103,baseline
clinical_lead5_st_deviation_mean,0.0,0.1777794709815643,0.37160230830200797,0.06903015715556557,0.08090806926419052,0.13986400114066566,clinical
clinical_lead8_qrs_ptp_mean,0.0,0.2988693151988599,0.17208977102790088,0.033935006136230614,0.19328865105576548,0.13963654868375136,clinical
lead3_mean_abs_diff,0.10858513846777154,0.37317368773754833,0.03888683833313893,0.11421710373423728,0.05993694514214927,0.13895994268296907,baseline
lead5_autocorr1,0.0,0.37324641331504027,0.13772164507118095,0.12726831314721926,0.05407834217056512,0.13846294274080112,baseline
clinical_lead9_st_deviation_mean,0.0,0.20977711056719325,0.06181724591595548,0.10562458787071337,0.30997121544964373,0.13743803196070117,clinical
lead2_max,0.0699072496778377,0.051845977626500395,0.08145768361942814,0.23485317428102914,0.2445798121553772,0.1365287794720345,baseline
lead4_kurt,0.24146869290918754,0.22860376482970818,0.05243789641026888,0.033454188809306375,0.12361447127907564,0.13591580284750931,baseline
clinical_lead9_pathologic_q_ratio,0.04609795545457018,0.11946565628626644,0.18310841239829675,0.2768916833500989,0.050685590775924334,0.13524985965303132,clinical
clinical_lead8_st_deviation_mean,0.0,0.09174941598208307,0.06503173794072842,0.0,0.5168607060261105,0.1347283719897844,clinical
corr_V2_V6,0.0,0.5521577805686858,0.12052063632306369,0.0,0.0,0.1345356833783499,baseline
clinical_lead9_qrs_ptp_mean,0.0,0.03219841507430441,0.12716324848759997,0.030446710927031384,0.4818521034822631,0.13433209559423978,clinical
lead3_rms,0.38156623965066033,0.09257243759713606,0.0,0.09575055007427284,0.09776223881231762,0.13353029322687737,baseline
lead7_autocorr1,0.13257682643911026,0.20751582818468456,0.1731807318077136,0.1092275886383286,0.044043900172614225,0.13330897504849024,baseline
lead10_mean_abs_diff,0.0,0.21382808697423308,0.1606116304416541,0.19103356208505748,0.10033446058127066,0.13316154801644306,baseline
clinical_lead2_st_deviation_mean,0.0,0.027062149729896394,0.4755372390285848,0.1354115297108387,0.02501566476417289,0.13260531664669856,clinical
clinical_lead7_q_r_ratio_mean,0.3887499727306521,0.07502236799575478,0.15979376895048647,0.038588568122738164,0.0,0.1324309355599263,clinical
lead7_cv,0.0,0.2786043404357036,0.0501535166406597,0.0,0.3271231283455462,0.13117619708438188,baseline
clinical_lead10_qrs_min_mean,0.0,0.12778655599563357,0.1228531404919511,0.07752943268788516,0.3155176125053085,0.12873734833615566,clinical
clinical_lead5_st_slope_mean,0.0,0.024398073064974986,0.08591905855851639,0.06499082862593845,0.4660673186401555,0.12827505577791706,clinical
lead5_kurt,0.1225025315393859,0.20718030336187732,0.12859637692118642,0.0,0.17393184473196183,0.1264422113108823,baseline
clinical_lead9_q_r_ratio_mean,0.0766124904593887,0.08232803853225758,0.3708145705619944,0.0,0.10139254540620872,0.12622952899196987,clinical
lead7_rms,0.04915845574019137,0.2718807600917963,0.11416646656242208,0.07148116790451228,0.12303184305360672,0.12594373867050573,baseline
lead5_std,0.0,0.39011555409710486,0.11626960182349866,0.03763584992052691,0.08310000387464593,0.12542420194315526,baseline
clinical_lead3_st_deviation_mean,0.049145014046447534,0.08819797573369635,0.39839169605953134,0.03474755016310773,0.055901792583996954,0.12527680571735597,clinical
lead4_zcr,0.21723483834968293,0.1437558102722091,0.04796651149986459,0.10990743041397565,0.10415765232264679,0.12460444857167578,baseline
lead7_norm_energy,0.0,0.38330381979524797,0.12789969999701248,0.04475771346924626,0.0648541033394167,0.12416306732018467,baseline
clinical_lead12_q_r_ratio_mean,0.0,0.232526919249329,0.024514782697134828,0.0,0.3631391791894416,0.12403617622718108,clinical
lead1_mean,0.1971676440946647,0.20106575222963063,0.19273245988963772,0.026235059995911008,0.0,0.12344018324196881,baseline
lead8_spec_entropy,0.19053930782724907,0.04898310363574845,0.17862576031048027,0.0,0.1976649218573331,0.12316261872616216,baseline
lead11_mean_abs_diff,0.0,0.0,0.15406842776907378,0.041855894082536295,0.415403492044739,0.12226556277926981,baseline
clinical_lead5_pathologic_q_ratio,0.1417970963872718,0.0,0.08666181728802023,0.05855740191529405,0.32384539457694445,0.1221723420335061,clinical
lead12_autocorr1,0.14127845493415578,0.16170588454898954,0.16466065850991865,0.035341712845295234,0.1065589181784194,0.12190912580335571,baseline
lead1_max_abs_diff,0.0972897036544438,0.31396482832478717,0.12938980454894772,0.0,0.06382557993962641,0.12089398329356102,baseline
lead1_skew,0.09774495427413367,0.14788445979433526,0.21806598385136328,0.0,0.13672299869602114,0.12008367932317068,baseline
