feature,perm_mean_CD,perm_std_CD,perm_mean_HYP,perm_std_HYP,perm_mean_MI,perm_std_MI,perm_mean_NORM,perm_std_NORM,perm_mean_STTC,perm_std_STTC,perm_mean_global,perm_std_global,builtin_mean_importance,feature_type
clinical_lead3_t_amp_mean,0.0,0.0,0.0004934873572806752,0.0003046186329915667,0.0009362454013505883,0.00038536278362533876,-1.0235416562831556e-05,6.927861672430491e-05,0.0,0.0,0.0002838994684136864,0.00015185200666824206,0.054036682982939996,clinical
lead1_skew,0.001013244637482824,0.00032233426116394504,0.0003099347756168935,0.0006551215026903662,3.692635640977216e-05,0.00037576807340187633,0.0,0.0,4.530328802083705e-05,0.0006833478266303381,0.00028108181150606534,0.00040731433277730515,0.12008367932317068,baseline
clinical_lead9_st_deviation_mean,0.0,0.0,0.0009533120272474327,0.0010383296176657653,-8.048089768556422e-05,0.00026732212982488355,0.00012706713352697018,0.0001349827074484525,0.0004011984728948814,0.0005184702502933382,0.000280219347196744,0.000391820941046488,0.13743803196070117,clinical
clinical_lead7_t_amp_mean,0.000719462560473727,0.0002563983844681504,0.0006306084430638071,0.0004110101899260806,9.748660407382648e-05,0.00019735972595436737,-5.680730351157459e-05,0.00012552325651288358,0.0,0.0,0.00027815006081995716,0.0001980583113722964,0.0952068789487569,clinical
lead11_std,0.0,0.0,0.0014281032549945728,0.0008158323396264929,0.0,0.0,-3.9438651178769216e-05,5.1879493168176004e-05,0.0,0.0,0.0002777329207631607,0.0001735423665589338,0.08519657539544048,baseline
lead10_hf2_energy,0.0,0.0,0.001338570817753404,0.0008757367940985954,-9.750004606646767e-05,0.00033480748048792506,6.250448292280942e-05,0.00012225183837158885,6.249183639825962e-05,0.0002476542783632107,0.0002732134182016011,0.000316090078264264,0.09382508384730943,baseline
clinical_lead7_qrs_min_mean,0.0007770451985976256,0.0004966106888790752,0.0004708840224153965,0.0008846790697859905,0.0,0.0,0.00011733049806104124,9.91350965264593e-05,-2.0413300506172403e-06,0.0004471210980925303,0.00027264367780468926,0.000385509190656811,0.22579129746318402,clinical
lead1_max,-0.0002446427210150648,7.9030628258551e-05,0.0014913930873131087,0.0011920790746528045,0.0,0.0,3.511681664448707e-05,3.297663112566466e-05,0.0,0.0,0.0002563734365885062,0.000260817266807404,0.1965658696395781,baseline
lead7_cv,0.0,0.0,0.00043245436817976877,0.0008870008850906843,-0.0004103477185764093,0.00026086792462326534,0.0,0.0,0.001235642861075914,0.0011919105005960236,0.0002515499021358547,0.00046795586206199464,0.13117619708438188,baseline
clinical_lead12_q_depth_mean,-0.00015157200553506112,0.00032995446781051974,0.0010916726658585785,0.0008877337185018004,0.00029259318723116043,0.0006059088538267383,6.085347108030215e-05,0.00012284890096147676,-3.7971791117508145e-05,0.000167131492692593,0.0002511151055034944,0.00042271548675862564,0.2398656553830562,clinical
clinical_lead8_t_amp_mean,-4.2708300505389654e-05,0.00025422376805090275,0.0005429666856027415,0.0006922858703629973,-0.000271276092823014,0.000454860939080616,0.0006036364667007077,0.0003825521099620062,0.00041825233923671324,0.000581729051496792,0.00025017421964235176,0.00047313034779066285,0.29876511835912056,clinical
lead8_min,0.0008339166872607939,0.0004729800204063625,-0.00025409759855463674,0.0007478176576809538,0.0006175407180192604,0.0004302553557803193,4.0169188517180654e-05,9.798576672829752e-05,0.0,0.0,0.00024750579904851965,0.0003498077601191866,0.205379686840667,baseline
